tt0078346,Superman,Hugo Award for Best Dramatic Presentation
tt0066206,Patton,Academy Award for Best Director
tt0066206,Patton,Academy Award for Best Actor
tt0093389,The Last Emperor,César Award for Best Foreign Film
tt0093389,The Last Emperor,National Board of Review: Top Ten Films
tt0093389,The Last Emperor,European Film Academy Special Jury Award
tt0066206,Patton,Academy Award for Best Production Design
tt0066206,Patton,Academy Award for Best Film Editing
tt0066206,Patton,National Board of Review: Top Ten Films
tt0066206,Patton,Academy Award for Best Sound
tt0066206,Patton,National Board of Review Award for Best Film
tt0100150,Miller's Crossing,National Board of Review: Top Ten Films
tt0102926,The Silence of the Lambs,Academy Award for Best Picture
tt0102926,The Silence of the Lambs,Writers Guild of America Award for Best Adapted Screenplay
tt0102926,The Silence of the Lambs,Academy Award for Best Director
tt0102926,The Silence of the Lambs,Academy Award for Best Actress
tt0102926,The Silence of the Lambs,Academy Award for Best Actor
tt0102926,The Silence of the Lambs,"Academy Award for Best Writing, Adapted Screenplay"
tt0102926,The Silence of the Lambs,New York Film Critics Circle Award for Best Actor
tt0102926,The Silence of the Lambs,National Board of Review: Top Ten Films
tt0102926,The Silence of the Lambs,Kansas City Film Critics Circle Award for Best Actor
tt0102926,The Silence of the Lambs,Dallas-Fort Worth Film Critics Association Award for Best Actor
tt0102926,The Silence of the Lambs,Directors Guild of America Award for Outstanding Directing – Feature Film
tt0102926,The Silence of the Lambs,BAFTA Award for Best Actor in a Leading Role
tt0102926,The Silence of the Lambs,Golden Globe Award for Best Actress – Motion Picture Drama
tt0102926,The Silence of the Lambs,BAFTA Award for Best Actress in a Leading Role
tt0102926,The Silence of the Lambs,New York Film Critics Circle Award for Best Director
tt0102926,The Silence of the Lambs,National Board of Review Award for Best Director
tt0102926,The Silence of the Lambs,Boston Society of Film Critics Award for Best Supporting Actor
tt0102926,The Silence of the Lambs,Chicago Film Critics Association Award for Best Actor
tt0102926,The Silence of the Lambs,Saturn Award for the Best Actor
tt0102926,The Silence of the Lambs,National Board of Review Award for Best Film
tt0102926,The Silence of the Lambs,National Board of Review Award for Best Supporting Actor
tt0102926,The Silence of the Lambs,New York Film Critics Circle Award for Best Actress
tt0109830,Forrest Gump,Academy Award for Best Picture
tt0109830,Forrest Gump,Academy Award for Best Director
tt0109830,Forrest Gump,Academy Award for Best Actor
tt0109830,Forrest Gump,"Academy Award for Best Writing, Adapted Screenplay"
tt0109830,Forrest Gump,Academy Award for Best Film Editing
tt0109830,Forrest Gump,Academy Award for Best Visual Effects
tt0109830,Forrest Gump,Amanda Award for Best Foreign Feature Film
tt0109830,Forrest Gump,National Board of Review Award for Best Film
tt0109830,Forrest Gump,National Board of Review: Top Ten Films
tt0042192,All About Eve,Academy Award for Best Picture
tt0042192,All About Eve,Academy Award for Best Director
tt0042192,All About Eve,Academy Award for Best Supporting Actor
tt0042192,All About Eve,"Academy Award for Best Writing, Adapted Screenplay"
tt0042192,All About Eve,Academy Award for Best Sound
tt0042192,All About Eve,National Board of Review: Top Ten Films
tt0042192,All About Eve,"Academy Award for Best Costume Design, Black-and-White"
tt0450188,La Vie en Rose,Academy Award for Best Actress
tt0450188,La Vie en Rose,Academy Award for Best Makeup and Hairstyling
tt1454029,The Help,Academy Award for Best Supporting Actress
tt0101516,Bugsy,Academy Award for Best Costume Design
tt0101516,Bugsy,Academy Award for Best Production Design
tt0021749,City Lights,National Board of Review: Top Ten Films
tt0101516,Bugsy,National Board of Review: Top Ten Films
tt0460791,The Fall,Sitges Film Festival Best Feature-Length Film award
tt0110877,Il Postino: The Postman,Amanda Award for Best Foreign Feature Film
tt0110877,Il Postino: The Postman,Academy Award for Best Original Dramatic Score
tt0110877,Il Postino: The Postman,Best movie award of Thessaloniki International Film Festival
tt0099763,Henry: Portrait of a Serial Killer,Sitges Film Festival Best Feature-Length Film award
tt2294629,Frozen,Annie Award for Best Animated Feature
tt2294629,Frozen,Academy Award for Best Animated Feature
tt2294629,Frozen,BAFTA Award for Best Animated Film
tt2294629,Frozen,Golden Globe Award for Best Animated Feature Film
tt2294629,Frozen,Critics' Choice Movie Award for Best Animated Feature
tt2294629,Frozen,Saturn Award for Best Animated Film
tt0072308,The Towering Inferno,Academy Award for Best Cinematography
tt0072308,The Towering Inferno,Academy Award for Best Film Editing
tt1139328,The Ghost Writer,César Award for Best Music Written for a Film
